(( 0.66 ), 3.7020336417162 )
(( 1.181 ), 4.5543081159352 )
(( -1.572 ), 2.5753757948928 )
(( -0.956 ), 2.8475611058966 )
(( 2.7005 ), 4.6125292838087 )
(( 0.1905 ), 2.4878033810125 )
(( -1.1385 ), 2.3715008360273 )
(( -1.5435 ), 1.7136240884822 )
(( -2.125 ), 2.1269672255783 )
(( -0.841 ), 2.185295139952 )
(( -0.0065 ), 3.0708133985376 )
(( -0.3925 ), 3.0787903232083 )
(( -1.7505 ), 2.2230665137793 )
(( -2.6955 ), 1.965672606391 )
(( -1.0905 ), 2.8185274986455 )
(( -0.8395 ), 2.1009428556921 )
(( 0.5185 ), 4.0799381752362 )
(( -0.158 ), 2.5449877662562 )
(( 2.568 ), 5.1546228751201 )
(( -2.8785 ), 1.7356415801868 )
(( 2.529 ), 4.6709139741849 )
(( -0.906 ), 3.4162578005456 )
(( 0.196 ), 2.2343862465308 )
(( -0.5885 ), 3.2158687744154 )
(( -1.1445 ), 2.3725088190204 )
(( -1.4515 ), 2.6449174349513 )
(( 2.62 ), 4.2789820382682 )
(( -1.444 ), 2.7789767542159 )
(( 0.532 ), 2.89184824842 )
(( -0.0795 ), 3.4963344978381 )
(( -0.064 ), 3.3884082962 )
(( -2.474 ), 2.1705206307357 )
(( -0.8515 ), 2.0026769320963 )
(( -1.9075 ), 1.279128221172 )
(( -0.265 ), 3.2742692764766 )
(( 0.4565 ), 3.6341133457936 )
(( -2.1565 ), 2.4561598515644 )
(( 2.9545 ), 5.8091281537817 )
(( -2.143 ), 2.2429235061303 )
(( -0.633 ), 3.0228336380712 )
(( -0.3445 ), 3.375460577795 )
(( 1.866 ), 4.6917028494473 )
(( -2.5085 ), 2.2686939082992 )
(( 1.1105 ), 4.0668411146663 )
(( -1.17 ), 2.1502064968627 )
(( -1.0095 ), 2.7617260601916 )
(( -0.207 ), 3.7346491841143 )
(( -0.2175 ), 3.7306260045549 )
(( -1.336 ), 2.6489145009135 )
(( 1.9765 ), 3.9213233995419 )
(( 0.18 ), 2.7659661781639 )
(( 0.796 ), 3.8509334646009 )
(( -0.384 ), 3.2127037350299 )
(( -0.1095 ), 2.7050862879607 )
(( -0.492 ), 2.3576536582474 )
(( 2.7515 ), 4.5116614272405 )
(( 2.9005 ), 4.8684093712557 )
(( 2.6465 ), 4.0151313498909 )
(( 1.481 ), 4.1624800132654 )
(( -1.644 ), 2.5731110925158 )
(( 2.4805 ), 4.3367287544425 )
(( 2.6695 ), 4.0126284790773 )
(( 1.5395 ), 4.9711406114619 )
(( -2.227 ), 1.574001039413 )
(( 1.4655 ), 4.3206082533824 )
(( 0.956 ), 3.5671295574908 )
(( -2.2495 ), 1.2618086410243 )
(( 2.7605 ), 4.6727749464131 )
(( 2.885 ), 4.6837511867405 )
(( 0.027 ), 3.5172031276379 )
(( 2.8045 ), 5.1220930522871 )
(( -1.561 ), 1.7541616205047 )
(( -2.9665 ), 1.9190774195754 )
(( 2.97 ), 4.5173145972862 )
(( -1.755 ), 1.8144871557314 )
(( 0.946 ), 3.4044682324833 )
(( -1.29 ), 2.7057082810586 )
(( 2.8755 ), 4.9616107773251 )
(( -1.5305 ), 2.0084382657563 )
(( 2.108 ), 4.9730680234207 )
(( 1.269 ), 3.2881962625349 )
(( 0.8585 ), 4.6382695279488 )
(( -0.9455 ), 2.9816769032517 )
(( -0.5415 ), 3.9941239025821 )
(( 2.5075 ), 4.7098138448983 )
(( 0.0965 ), 3.2248042300898 )
(( 2.945 ), 5.5736685876974 )
(( -0.928 ), 3.2259700897962 )
(( 1.7055 ), 4.1494457698256 )
(( 0.9105 ), 3.1429743814732 )
(( -0.237 ), 3.6280033918392 )
(( -1.952 ), 3.107440747464 )
(( 2.3075 ), 3.8670329342693 )
(( 2.2455 ), 5.2986065330938 )
(( 2.149 ), 4.4046847310712 )
(( 0.4075 ), 3.4020902944941 )
(( -0.189 ), 4.1909948369084 )
(( 0.7705 ), 3.9233810933303 )
(( -1.7265 ), 2.6473682410071 )
(( -0.748 ), 2.886452405275 )
(( 2.8645 ), 5.0245102707344 )
(( 1.028 ), 3.3664823957492 )
(( -0.229 ), 3.5895659300874 )
(( 0.479 ), 4.267689378971 )
(( -1.199 ), 1.8084321637433 )
(( -2.398 ), 2.0059696418464 )
(( -2.5685 ), 1.5394546812977 )
(( 0.9635 ), 3.7889683385871 )
(( -1.208 ), 1.7130703845111 )
(( -0.9915 ), 2.9155401091139 )
(( -1.1425 ), 2.3391374977192 )
(( 1.64 ), 3.6543187960468 )
(( -2.357 ), 2.1830153354292 )
(( 0.5035 ), 4.3178170191382 )
(( 1.741 ), 3.8367876697747 )
(( -1.294 ), 2.5712332979677 )
(( 0.9285 ), 3.292082640532 )
(( 0.892 ), 2.8757206745118 )
(( -1.183 ), 2.0421588184116 )
(( 0.412 ), 3.7153338335062 )
(( 0.342 ), 3.2277159490813 )
(( -2.647 ), 2.7368590290867 )
(( -2.117 ), 1.842770861929 )
(( -0.2495 ), 3.2006738102377 )
